"","SEX","AGE_GROUP","ACTIVITY","mean","sd","n"
"235","2","65-74",NA,17.0565883251884,42.1804696747955,840
"236","2","65-74",NA,39.9157334167878,58.8882269820993,840
"237","2","65-74",NA,11.6813185697927,53.4762132456439,840
"238","2","65-74",NA,50.5993885187818,147.049703208693,840
"239","2","75+",NA,2.39982122370212,14.059760029845,606
"240","2","75+",NA,4.31540949643859,24.1416769615267,606
"241","2","75+",NA,0.34223735274153,5.11107161570417,606
"242","2","75+",NA,75.5116215131809,48.1277230614086,606
"243","2","75+",NA,0.077142332347765,0.874912786642931,606
"244","2","75+",NA,171.861423623111,147.184973122157,606
"245","2","75+",NA,0.605912907243951,8.95707671270548,606
"246","2","75+",NA,603.848029457202,143.305847102424,606
"247","2","75+",NA,18.310039435146,46.3588666598003,606
"248","2","75+",NA,9.11098889668342,34.7736695063245,606
"249","2","75+",NA,18.1110193788148,36.3208997109575,606
"250","2","75+",NA,16.3573843998288,42.9242821168919,606
"251","2","75+",NA,435.776396769683,215.319179388658,606
"252","2","75+",NA,10.7327715338332,28.6924328393989,606
"253","2","75+",NA,29.975571615757,45.4688481776044,606
"254","2","75+",NA,9.02509380634458,45.1016005592591,606
"255","2","75+",NA,12.7619325238516,87.4465281564722,606
